,pttID,HighSchool_PR,College_Score,HS_Inacc,CS_Inacc,HS_Invalid,CS_Invalid
1,game275415,60,50,1,0,0,0
2,a2654133,60,52,0,0,0,0
3,cookie20125,99,72,0,0,0,0
4,heejung,92,54,1,0,0,0
5,shun01,87,51,0,0,0,0
6,robinyu85,-1,74,0,0,1,0
7,allengoose,69,48,0,0,0,0
8,godpatrick11,98,60,0,0,0,0
9,morgankhs,95,65,0,0,0,0
10,jazzard,88,65,0,0,0,0
11,ksacball,99,70,0,0,0,0
12,wzxoo,93,66,0,0,0,0
13,hsukenhao,95,69,0,0,0,0
14,zles966218,77,53,0,0,0,0
15,mathafaka,98,65,0,0,0,0
16,tang0306,89,64,0,0,0,0
17,bbcinin,90,59,0,0,0,0
18,sikeken40815,98,72,0,0,0,0
19,karenlai80,-1,62,0,0,1,0
20,sherman0220,82,52,0,0,0,0
21,Zw111196,74,72,0,0,0,0
22,Changster,88,63,1,0,0,0
23,cp3wade,84,65,0,0,0,0
24,r124626743,93,66,0,0,0,0
25,anne80916ann,98,64,0,0,0,0
26,tigerjet8613,88,61,0,0,0,0
27,qwe369875421,96,68,0,0,0,0
28,hacocu831735,84,55,0,0,0,0
29,TaiNanRay,84,66,0,0,0,0
30,shinjya,92,58,0,0,0,0
31,gingerman,75,63,1,0,0,0
32,Sampragassi,95,63,0,1,0,0
33,YuWen91041,93,56,1,0,0,0
34,takiryushi,97,62,0,0,0,0
35,stephanie502,59,51,1,0,0,0
36,DUCK1997,95,72,0,1,0,0
37,ayenliou,82,58,0,0,0,0
38,billy950361,89,65,0,0,0,0
39,Gigadelic,99,65,0,0,0,0
40,jason8607,95,64,0,0,0,0
41,peterrr,95,72,0,0,0,0
42,rainbow2565,84,63,0,0,0,0
43,jasonajaw,99,68,0,0,0,0
44,headheadgood,84,61,0,0,0,0
45,tvsiecnkgy,93,61,0,0,0,0
46,sengoddard,94,67,0,0,0,0
47,ss9517532468,97,69,0,0,0,0
48,howard324666,99,71,0,0,0,0
49,s23546798,89,66,0,0,0,0
50,wulingtony,98,73,0,0,0,0
51,charliechao,96,67,0,0,0,0
52,cindykaulitz,94,66,0,0,0,0
53,frazzz,90,70,0,0,0,0
54,jamesoo0816,90,68,0,0,0,0
55,zsgg123,92,52,0,0,0,0
56,Lumos,89,59,0,0,0,0
57,chen92105,92,65,0,0,0,0
58,kokoko35,82,45,0,0,0,0
59,Bihrava,96,73,0,0,0,0
60,s92181,91,58,0,0,0,0
61,a828486penny,95,68,0,0,0,0
62,the32119,76,56,0,0,0,0
63,unique5200,78,45,0,0,0,0
64,TammyDream,71,49,0,0,0,0
65,jj840917,97,66,0,1,0,0
66,sergiorossi,79,61,0,1,0,0
67,a7927705,93,56,0,0,0,0
68,hank41210,81,58,0,0,0,0
69,lp33506,99,68,0,0,0,0
70,single860416,91,52,0,0,0,0
71,zz45698,99,-1,0,0,0,1
72,kimiiceman01,79,58,0,0,0,0
73,XiaYa,75,63,1,0,0,0
74,vmgj6qup6,78,55,0,0,0,0
75,irene282007,99,73,0,0,0,0
76,tree1314,98,68,0,0,0,0
77,albino1347,92,65,0,0,0,0
78,ejavona,98,70,0,0,0,0
79,greg0740,81,61,0,0,0,0
80,victor0607,99,74,0,0,0,0
81,wlsh5701,98,70,0,0,0,0
82,josecheng,99,71,0,1,0,0
83,CountingStar,97,67,0,0,0,0
84,SuBowXD,94,65,0,0,0,0
85,LaLa0526,-1,71,0,0,1,0
86,jmos123,97,53,0,0,0,0
87,hugewilly,92,60,0,0,0,0
88,holishing,-1,69,0,0,1,0
89,angel37569,79,53,0,0,0,0
90,xoxozoey,91,60,0,0,0,0
91,karco,92,68,0,0,0,0
92,jingwen1997,98,67,0,0,0,0
93,Ming1011,91,58,0,0,0,0
94,zander363,93,70,0,0,0,0
95,tf34,99,73,0,0,0,0
96,Mongyh,94,-1,0,0,0,1
97,Paramecium,76,70,0,0,0,0
98,mochante,87,64,0,0,0,0
99,pork6631,97,71,0,0,0,0
100,qxxrbull,80,48,1,0,0,0
101,karta1565315,99,71,0,0,0,0
102,evahyun,91,53,0,0,0,0
103,qwasty320,93,63,0,0,0,0
104,yihsinliu,94,52,0,0,0,0
